,平台,情感短语,用户印象
246,信和大金融,"[[], [['是同事介绍']], [['是属于', '属于信', '靠烧', '烧钱', '砸广告', '涉嫌非法集资', '搜索权威新闻']], [['开始接触', '接触信和大金融', '准备在这个平台投资', '投资一笔', '希望有', '有好的收获']], [['开始关注', '关注信和大金融', '还是可观']], [['是2月开始', '投了两笔']], [['是一个很不错的投资平台网站', '做投资', '是为了', '丰满自己的荷包']], [['放了2万元']], [['觉得这种理财模式不错', '是小额投入']]]","['新闻权威', '收获好', '平台不错', '荷包丰满', '模式不错']"
247,前金所,"[[['是朋友推荐', '是担心', '担心安全', '投资了段时间', '投资了些小资金', '发现回款都是', '是按时', '提前回款', '想投资短期点的微小宝', '投资短期点'], ['帮我想', '想出了解决', '解决方案', '推出了自动续'], ['回款', '等着项目上线'], ['有7天', '是可以'], ['希望越来越好']]]",['资金小']
248,好麦金融,"[[['处于中等偏上水平', '不见联系方式']]]",['水平偏']
249,互融宝,"[[['是互融宝的老投资者', '算是看', '看着平台成长', '提了不少意见', '觉得平台很尊重', '尊重投资者', '是平台很安全'], ['设资金池', '是我最看重']], [['是大额']]]","['投资者老', '平台安全']"
250,两只老虎,"[[['听说这个平台有', '有一段时间', '想试试', '试试水', '想起那首歌'], ['看看再说']]]",[]
251,钱爸爸,"[[['有存管标']], [], [['开通了存管', '知道存管就没标', '收1%的管理费', '抢钱']], []]",[]
252,翼龙贷,"[[], [['活动得了50元红包', '查询网站要求', '要求不许投', '投7天'], ['投了15天5000元标', '给返还红包的50元', '返还红包'], ['打了客服投诉', '回电话', '说解决'], ['是活动规则立刻修改', '投7天'], ['不过15天']], [['有了很大的改进', '希望翼龙', '做好风控', '让投', '投民']], [], [], [['想再投', '投翼龙贷', '尽2天']], [['没意义']], [['有活动', '需要收取', '收取手续费', '实现每月限定次数的免费快速提现就更好', '限定次数']], [['投资翼龙贷', '是芝麻开花', '是30天芝麻', '砸手里半年以上', '说我没提醒', '提醒你', '迷信联想'], ['是前二十平台里最多', '像传销', '请大家远离', '远离翼龙贷', '有可能先倒闭的平台']], [['打算到期']], [], [['考虑过收益问题']], [['搞个发标预告'], ['以为投资人能洒'], ['等着你发标'], ['没人和你玩']], [], [['是冲', '有18左右的利率才进', '见有', '有可投', '是已满标'], ['建议多发点散标']], [['抢不到标', '就是假']], [['沒风声', '让投资人过', '过个平安年']], [['准备烂']], [['是何种方式']]]","['次数好', '平台多', '年平安']"
253,合时代,"[[['是坑']], [['关注这个平台', '开始试', '试着投', '投了芝麻', '投了定期一年标', '加仓半年标', '重仓这个平台', '发现平台活动很丰富', '是银行存管能上']], [], [['是当天到', '到帐'], ['搞活动增的优惠券时限']]]",['平台丰富']
254,花果金融,"[[], [['有小额投资', '希望存管', '存管早些上线']]]",['上线早']
255,e聚富,[[['有信心']]],[]
256,易通贷,"[[['打不开提示', '说网络超时']], [['有收费', '存管']], [], [['放点资金']], [['等通过', '通过备案', '投个标']], [['解决能过', '过备案'], ['上存管', '想上还是', '还是其他原因']], [], [['希望平台越做']], [], [['是上线', '上线银行存管'], ['追加投资']], [['投了一段时间', '希望越做']], [['到帐']]]",[]
257,梧桐理财,"[[['投活期', '有2小时', '是上午提', '提下午就到账', '看平台']]]",[]
258,捞财宝,"[[['跟着国家步伐'], ['值得信赖']], [['觉得是', '是高大上的台子就投', '傻眼了到期2天后才到', '到账户', '是三四天遇到', '遇到周末直接后延', '投第一次遇到', '遇到这样垃圾的台子']], [['像那些小平台没保障'], ['是比较安全']], [['令人糟心']]]","['台子高大', '平台小']"
259,你我贷,"[[['希望风控做']], [['提现快速']], [['希望越来越好']], [['还款什么鬼']], [['降额度']], [['举例，1日投资', '进封闭期', '开始退出', '完成退出'], ['开始提现'], ['占岗']], [['得利']], [['提现了你我贷', '回款资金', '占用投资人资金']], [['怀疑你我贷是', '是假存', '存管', '投过几个平台', '是转', '转到存管银行页面']], [], [['开始出现', '出现逾期', '提供任何明确做法'], ['说会催', '催收', '没有任何办法', '让人生气', '是借款人信用还是', '还是A级']], [['提现不出来怎么回事']], [['签到解锁']], [], [['看不到自己的评价', '评价怎么回事', '有频闭功能']], [['看不到详情', '感觉有点不透明']], [['有自身的缺点', '希望备案顺利投资']], [['希望以后活动多']], [['投入资金2万元'], ['是6月10日到期'], ['是30天'], ['是10%加', '加5%'], ['收到客服妹妹电话'], ['到期日6月10日'], ['考虑5月份31天'], ['有自融的嫌疑']], [['准备撤']], [['发个加息券']], [['投资了你我贷新手标', '到账'], ['給你我贷点个赞']], [['相信，我通过某网贷大咖注册', '投资你我贷', '说是有', '有返', '返现']], [['说标满', '喜欢从哪天开始就到哪天结束', '认为多占用'], ['是提', '到账']], [['来说客户体验感挺不错的首投', '有15%', '希望能多搞', '搞些老客户活动']], [['有站岗']], [['让人放心']], [['有道', '是自动退出'], ['是手动点了退出', '知道还要'], ['到了极点'], ['点了退出', '是转让中', '知道需要', '需要等多久'], ['上了贼船']], [['等待你我贷', '给出解释']], [['撸羊毛']], [], [['你我贷这种垃圾平台', '算是比较多的平台', '是最垃圾的平台'], ['没有之一'], ['是最垃圾的平台'], ['做活动', '说你违规', '给返', '是忍', '投了几个标', '有个标还失败', '到余额', '回款']], [['退出t', '排名前二十', '值得信赖']], [['延迟回款', '有滞纳金可以接收'], ['说明容易让', '让人误解', '没管理费']], [['是拖延、站岗等小问题'], ['有涉及到平台安全方面的问题'], ['是大事', '只有安全', '是可以忍受'], ['看到这方面的问题'], ['退出速度', '是真实的而且没有', '没有资金池', '是通过', '需要时间'], ['有资金池']], [['做活动', '入仓']], [['年化10']], [], [['还是很稳定', '投年利率', '有15%', '收到3个月的加息券']], [['开始推广好可以，之家上的力度太小']], [['说了还不错', '收服务费'], ['想来', '来这里', '看看有', '有人说', '说起过怎么收费']], [['到期回款', '到余额', '听投友', '说到余额后提现', '得三天']], [['遇到过网站bug']], [['是蛮高', '打了我两三次电话', '知道我投资', '投资了多少钱', '觉得我的消息太容易被暴露']], [['希望你我贷提现更快点就更好', '提现更快点']], [['以为还不错', '投了新手标3万', '到账', '等2个工作解锁', '等2个工作日', '是11的时间', '碰上周末', '是新手都不会继续', '说太坑爹']], [['进行投资'], ['集合标', '有一定优势', '退出你我贷', '建议现在进入', '进入平台']], [['参加活动', '发现平台的种类好像点复杂']], [], []]","['做法明确', '人生气', '感觉透明', '手标新', '网贷大', '客户不错', '客户老', '平台多', '问题小', '平台安全', '家好', '消息容易', '手标新', '平台复杂']"
260,温商贷,"[[['负责任'], ['是18%'], ['收到短信', '说是从16年3月1日起一年期的收益降', '为13.2%', '为9.6', '降息'], ['降息', '让我有', '有感觉'], ['急于公司利益最大化', '是无所谓的态度', '想降就降']], [['到帐', '等了三个工作日', '拿回钱'], ['投资标的'], ['适合撸', '撸羊毛', '建议投了新手标后就提现', '投了新手标']], [['回款', '到账户'], ['是吐血']], [['要手续费', '转入余额', '是坑']], [['加上返利红包有', '有十几的年化']], [['是负面新闻太多', '希望重视']], [['是不错的老平台'], ['希望温商贷越办']], [['就是上个月存管的时候问题有', '有一点']], [['想发', '搞活动', '庆银行存管']], [['是秒到']], [['就是那几家公司在借款', '看了前几天的记录', '是旧款未还又借', '借新款', '让人担心', '担心啊1']], [['希望早日解决', '解决技术问题']], []]","['手标新', '手标新', '新闻多', '平台不错']"
261,豫商贷,"[[['做车贷'], ['回款']], [['算是个大平台', '发现有', '有十分令人担心的地方', '令人担心'], ['有实地考查'], ['愿豫商贷']], [['推荐用', '希望他越做'], ['出台更详细的互控措施', '让客户有', '有长久持有的信心']]]","['个大', '措施详细', '信心长久']"
